,CL105_NS_Run18_0815,CL146_NS_Run18_0815,CL152_NS_Run18_0815,CL154_NS_Run18_0815,CL156_NS_Run18_0815,CL162_NS_Run18_0815,CL164_NS_Run18_0815,CL167,CL172_NS_Run18_0815,CL176,CL183,CL187_NS_Run18_0815,CL191,CL196_NS_Run18_0815,CL203_NS_Run18_0815,CL213,CL214_NS_Run18_0815,CL219_NS_Run18_0815,CL228,CL236,CL240_NS_Run18_0815,CL244,CL253,CL41_NS_Run18_0815,CL50_NS_Run18_0815,CL53_NS_Run18_0815,CL56_NS_Run18_0815,CL85_NS_Run18_0815,Female-Ctrl_NS_Run18_0815,Male-Ctrl_NS_Run18_0815
hsa-mir-1270-1,0,13,15,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-1270-2,0,13,15,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-330,8,98,71,80,76,50,61,0,103,0,5,16,0,15,82,26,106,9,18,0,100,12,0,70,60,71,92,34,135,36
hsa-mir-150,52719,196742,132863,38283,162833,199962,105004,8816,179924,4781,3166,23894,1372,105242,228539,70245,150228,15009,39321,77,131186,15285,419,176364,218440,174578,169078,32342,121152,30910
hsa-mir-1301,0,22,27,24,12,22,15,0,27,0,0,0,0,0,17,12,20,0,0,0,19,0,0,24,12,28,33,0,31,26
hsa-mir-1301*,0,22,27,24,12,22,15,0,27,0,0,0,0,0,17,12,20,0,0,0,19,0,0,24,12,28,33,0,31,26
hsa-mir-3130-1,0,0,8,0,0,5,0,0,0,0,0,0,0,0,7,0,12,0,5,0,0,0,0,11,0,0,0,0,0,0
hsa-mir-6513,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,5,0,13,5
hsa-mir-6513*,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,5,0,13,5
hsa-mir-375,7,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,6,5,0,0,6
hsa-mir-5001,6,0,10,0,12,19,0,0,12,0,0,0,0,0,9,0,18,0,0,0,14,0,0,11,10,23,10,6,15,0
